SEQ 900900
PIC 000000bd 0
PIC 00001dfe 2
PIC 00004a90 1
PIC 00004bce 5
PIC 00010df9 3
PIC 00016a4e 4
PIC 0002129f 8
PIC 00032c77 6
PIC 00041f08 7
PIC 000541c3 11
PIC 00059d48 9
PIC 0005f592 10
PIC 000650e8 14
PIC 0006bde1 12
PIC 00071747 13
SEQ 900900
PIC 00076ec0 0
PIC 00092ada 2
PIC 0009d246 1
PIC 000a3487 5
PIC 000ac67f 3
PIC 000b2338 4
PIC 000b80a8 8
PIC 000c0d9a 6
PIC 000c67fc 7
PIC 000cc384 11
PIC 000d4f52 9
PIC 000daef4 10
PIC 000e1088 14
PIC 000e9d4a 12
PIC 000efcc6 13
SEQ 900900
PIC 000f5f0c 0
PIC 0010f089 2
PIC 00113a1b 1
PIC 00119e39 5
PIC 00122562 3
PIC 00128b16 4
PIC 0012f501 8
PIC 001386a5 6
PIC 0013eadb 7
PIC 00144ff6 11
PIC 0014e0d2 9
PIC 001543f2 10
PIC 0015a824 14
PIC 001638c1 12
PIC 00169cb4 13
SEQ 900900
PIC 001702ac 0
PIC 001891be 2
PIC 0018dab2 1
PIC 001939c4 5
PIC 0019bb3d 3
PIC 001a1d74 4
PIC 001a826e 8
PIC 001b0fb5 6
PIC 001b748a 7
PIC 001bdb72 11
PIC 001c6d2b 9
PIC 001cd216 10
PIC 001d3ace 14
PIC 001dd11f 12
PIC 001e3a96 13
SEQ 900900
PIC 001ea634 0
PIC 00202f62 2
PIC 002082d2 1
PIC 0020ddab 5
PIC 00215fe8 3
PIC 0021c61e 4
PIC 00222da5 8
PIC 0022b92c 6
PIC 0023213e 7
PIC 00238589 11
PIC 00241281 9
PIC 0024786d 10
PIC 0024dfba 14
PIC 002571ea 12
PIC 0025db68 13
SEQ 900900
PIC 002648c2 0
PIC 0027d590 2
PIC 00282d7d 1
PIC 00289261 5
PIC 0029148b 3
PIC 00297b94 4
PIC 0029e2b7 8
PIC 002a6dbf 6
PIC 002ad509 7
PIC 002b3b83 11
PIC 002bc810 9
PIC 002c2ba2 10
PIC 002c92d8 14
PIC 002d1d60 12
PIC 002d849c 13
SEQ 900900
PIC 002deb6b 0
PIC 002fcbe7 2
PIC 0030daab 1
PIC 0031111a 5
PIC 00315525 3
PIC 00318779 4
PIC 0031ba48 8
PIC 0031f9e1 6
PIC 00322db4 7
PIC 0032618d 11
PIC 0032a401 9
PIC 0032d7d6 10
PIC 00330b9f 14
PIC 00334f26 12
PIC 00338564 13
SEQ 900900
PIC 0033bc16 0
PIC 0034cfbe 2
PIC 00351d27 1
PIC 0035535b 5
PIC 00359cb0 3
PIC 0035d619 4
PIC 00361060 8
PIC 0036579a 6
PIC 0036909e 7
PIC 0036ca29 11
PIC 003713f0 9
PIC 00374df9 10
PIC 00378654 14
PIC 0037cdd4 12
PIC 00380505 13
SEQ 900900
PIC 00383d24 0
PIC 003952bc 2
PIC 0039a201 1
PIC 0039d845 5
PIC 003a20a8 3
PIC 003a5937 4
PIC 003a9275 8
PIC 003ad514 6
PIC 003b0a18 7
PIC 003b3f23 11
PIC 003b7b8f 9
PIC 003bae60 10
PIC 003be0b2 14
PIC 003c22c5 12
PIC 003c503e 13
SEQ 900900
PIC 003c7f92 0
PIC 003d879b 2
PIC 003dbd75 1
PIC 003de850 5
PIC 003e2233 3
PIC 003e503a 4
PIC 003e80b0 8
PIC 003ebf84 6
PIC 003ef318 7
PIC 003f271b 11
PIC 003f6b78 9
PIC 003fa154 10
PIC 003fd6eb 14
PIC 00401ed3 12
PIC 0040551f 13
SEQ 900900
PIC 00408c22 0
PIC 0041b074 2
PIC 00420285 1
PIC 00423b28 5
PIC 0042887e 3
PIC 0042c37f 4
PIC 0042fe60 8
PIC 0043483f 6
PIC 004381aa 7
PIC 0043bcb6 11
PIC 0044040b 9
PIC 00443ce8 10
PIC 00447657 14
PIC 0044bfba 12
PIC 0044f7ae 13
SEQ 900900
PIC 00452f4f 0
PIC 00465388 2
PIC 0046a2a7 1
PIC 0046daf9 5
PIC 00472317 3
PIC 00475bde 4
PIC 00479577 8
PIC 0047d922 6
PIC 00480f2f 7
PIC 00484420 11
PIC 00488392 9
PIC 0048b727 10
PIC 0048ea35 14
PIC 004923a9 12
PIC 0049536d 13
SEQ 900900
PIC 0049835c 0
PIC 004a9187 2
PIC 004acf26 1
PIC 004afa2e 5
PIC 004b3618 3
PIC 004b6747 4
PIC 004b98e0 8
PIC 004bd7ff 6
PIC 004c0b81 7
PIC 004c3f01 11
PIC 004c8147 9
PIC 004cb560 10
PIC 004ce99f 14
PIC 004d2da5 12
PIC 004d63f1 13
SEQ 900900
PIC 004d9aa9 0
PIC 004ebe36 2
PIC 004f0da0 1
PIC 004f4586 5
PIC 004f9022 3
PIC 004fcac2 4
PIC 0050063a 8
PIC 00504e9d 6
PIC 005088b7 7
PIC 0050c359 11
PIC 00510e37 9
PIC 00514952 10
PIC 005182bf 14
PIC 0051cb57 12
PIC 0052039a 13
SEQ 900900
PIC 00523ccb 0
PIC 00536205 2
PIC 0053b394 1
PIC 0053eb7e 5
PIC 005434d1 3
PIC 00546e85 4
PIC 0054a8e3 8
PIC 0054eca2 6
PIC 005522b5 7
PIC 005558cf 11
PIC 0055964c 9
PIC 0055ca33 10
PIC 0055fd9b 14
PIC 00563019 12
PIC 00565eac 13
SEQ 900900
PIC 00568d4b 0
PIC 00579554 2
PIC 0057cbc6 1
PIC 0057f709 5
PIC 005830ea 3
PIC 00585eee 4
PIC 00588f6a 8
PIC 0058ce39 6
PIC 005901c4 7
PIC 005935cf 11
PIC 00597a2c 9
PIC 0059b000 10
PIC 0059e58d 14
PIC 005a2d6d 12
PIC 005a63b5 13
SEQ 900900
PIC 005a9ab7 0
PIC 005bbf09 2
PIC 005c116b 1
PIC 005c4a55 5
PIC 005c97a7 3
PIC 005cd2ac 4
PIC 005d0d8d 8
PIC 005d576c 6
PIC 005d90df 7
PIC 005dcbf1 11
PIC 005e1349 9
PIC 005e4c29 10
PIC 005e859b 14
PIC 005ecf05 12
PIC 005f0700 13
SEQ 900900
PIC 005f3ea8 0
PIC 006062e1 2
PIC 0060b244 1
PIC 0060ea86 5
PIC 00613294 3
PIC 00616b54 4
PIC 0061a4ea 8
PIC 0061e892 6
PIC 00621ea6 7
PIC 0062539e 11
PIC 00629315 9
PIC 0062c6ad 10
PIC 0062f9be 14
PIC 00633330 12
PIC 006362f5 13
SEQ 900900
PIC 006392e4 0
PIC 0064a10f 2
PIC 0064deae 1
PIC 006509b6 5
PIC 006545a0 3
PIC 006576cf 4
PIC 0065a868 8
PIC 0065e787 6
PIC 00661b09 7
PIC 00664e89 11
PIC 006690cf 9
PIC 0066c4e8 10
PIC 0066f927 14
PIC 00673d2d 12
PIC 00677379 13
SEQ 900900
PIC 0067aa31 0
PIC 0068cdbe 2
PIC 00691d28 1
PIC 0069550e 5
PIC 00699faa 3
PIC 0069da4a 4
PIC 006a15c2 8
PIC 006a5e25 6
PIC 006a983f 7
PIC 006ad2e1 11
PIC 006b1dbf 9
PIC 006b58da 10
PIC 006b9247 14
PIC 006bdadf 12
PIC 006c1322 13
SEQ 900900
PIC 006c4c53 0
PIC 006d718d 2
PIC 006dc31c 1
PIC 006dfb06 5
PIC 006e4459 3
PIC 006e7e0d 4
PIC 006eb86b 8
PIC 006efc2a 6
PIC 006f323d 7
PIC 006f6857 11
PIC 006fa5d4 9
PIC 006fd9bb 10
PIC 00700d23 14
PIC 00703fa1 12
PIC 00706e34 13
SEQ 900900
PIC 00709cd3 0
PIC 0071a4dc 2
PIC 0071db4e 1
PIC 00720691 5
